#;Ano Letivo de Previsão de Conclusão;Ano de Conclusão;Ano de Conclusão do Ensino Anterior;Data de Ingresso;Ano de Ingresso;Data da defesa do TCC;Data de Conclusão de Curso;Data de Expedisão do Diploma;Data de Matrícula;Data de Nascimento;Data previsa de defesa do TCC;Deficiência;Descrição do Curso;Estado;Estado Civil;Etnia/Raça;Forma de Ingresso;I.R.A.;Município de Redsidência;Município de Redsidência (Código IBGE);Média Geral no Período;Nacionalidade;Naturalidade;Naturalidade (Código IBGE);Nível de Ensino;Percentual de Progresso;Período de Ingresso;Renda Per Capita;Sexo;Situação no Curso;Situação no Período;Tipo de Escola de Origem;Transporte Escolar: Poder Público;Transporte Escolar: Tipo de Veículo;Transtorno;Zona Residencial;Prática Profissional Pendente;Colação de Grau Pendente;Atividades Complementares Pendente;Carga Horária de TCC Pendente;Carga Horária de Prática Profissional Pendente;Registro de TCC Pendente;Carga Horária de Seminário Pendente;Carga Horária Eletiva Pendente;Carga Horária Optativa Pendente;Carga Horária Obrigatória Pendente;Registro do ENADE;Dias Para Formar;Dias Para Defesa TCC;Idade;Minimo Previsto Para Formar;Maximo Previsto Para Formar;Diferença Dias P/F e D/TCC;Cotista;codigo da cota
460;2025;;2022.0;30/01/2023;2023;;;;22/06/2026;07/09/2004;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Preta;Processo Seletivo/Escola Pública, Preto, Pardo ou Indígena, baixa renda (R2);32.6;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;12.0;1;;F;Cancelamento por Desligamento;Cancelamento por Desligamento;Pública;;;;Urbana;Não;Sim;Sim;;Não;Sim;;Não;Não;Sim;Sim;;;21;1096;2192;;Sim;R2
461;2021;;2015.0;23/03/2016;2016;;;;23/06/2026;21/07/1998;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;SISU/Ampla concorrência;1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;0.0;1;;F;Cancelamento por Desligamento;Período Fechado;Privada;;;;Urbana;;;;;;;;;;;;;;27;1096;2192;;Não;AC
462;2027;;2021.0;03/02/2025;2025;;;;24/06/2026;29/08/2003;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;SISU/LB_Q: Candidatos autodeclarados quilombolas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas;66.83;AraguaínaTO;1702109;0;Brasileira;MuricilândiaTO;1713957;Graduação;12.0;1;0.24;M;Matriculado;Matriculado;Pública;Municipal;Ônibus;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;22;1096;2192;;Sim;LB_Q
463;2026;;2005.0;22/02/2021;2021;;;;25/06/2026;28/12/1986;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);67.58;AraguaínaTO;1702109;0;Brasileira;TocantinópolisTO;1721208;Graduação;15.86;1;3.47;M;Cancelamento por Desligamento;Cancelamento por Desligamento;Pública;;;;Urbana;Não;Sim;Sim;;Não;Sim;;Não;Não;Sim;Sim;;;38;1096;2192;;Não;AC
464;2021;;2008.0;23/03/2016;2016;;;;26/06/2026;10/01/1991;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;33.33;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;34;1096;2192;;Não;AC
465;2027;;2019.0;14/01/2022;2022;;;;27/06/2026;23/08/2000;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Escola pública, baixa renda (R4);80.25;AraguaínaTO;1702109;0;Brasileira;ItupirangaPA;1503705;Graduação;84.0;1;0.33;M;Matrícula Vínculo Institucional;Em Aberto;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;25;1096;2192;;Sim;R4
453;2026;;2019.0;30/01/2023;2023;;;;15/06/2026;16/09/2002;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;PS/Transferência Externa;87.65;AraguanãTO;1702158;0;Brasileira;ItapeviSP;3522505;Graduação;70.0;2;0.59;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;23;1096;2192;;Não;Trans_Ex
467;2021;;2009.0;23/03/2016;2016;;;;29/06/2026;18/11/1988;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;39.57;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;36;1096;2192;;Não;AC
468;2025;;2018.0;03/02/2020;2020;;;;30/06/2026;30/12/1998;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Preta;Processo Seletivo/Escola pública, baixa renda (R4);1.0;AraguaínaTO;1702109;0;Brasileira;PalmasTO;1721000;Graduação;15.86;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;26;1096;2192;;Sim;R4
469;2022;;2006.0;02/03/2017;2017;;;;01/07/2026;20/08/1986;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Preta;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;49.1;1;;F;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;39;1096;2192;;Não;AC
